Sum of __index_level_0__,Sum of avg_temp_c,Sum of avg_sea_level_pres_hpa,Sum of avg_wind_dir_deg,Sum of avg_wind_speed_kmh,city,competition,country,city_name,Sum of Draw,Sum of max_temp_c,Sum of Loose,Sum of min_temp_c,neutral,Opponent,Sum of peak_wind_gust_kmh,Sum of Point,Sum of precipitation_mm,Result,season,Snow,Sum of snow_depth_mm,stadium,station_id,Sum of TA,Sum of TF,Team,Sum of sunshine_total_min,Sum of TotalTri,TrancheTemp,TranchWind,Sum of Win,world_cup
4678,,,,,Adelaide,2003 Rugby World Cup,Australia,Adelaide,0,9.2,0,4.7,True,Argentina,,3,,W,Spring,false,,Adelaide Oval,95678,15,16,Ireland,,31,no data,no data,1,True
4678,,,,,Adelaide,2003 Rugby World Cup,Australia,Adelaide,0,9.2,1,4.7,True,Ireland,,0,,L,Spring,false,,Adelaide Oval,95678,16,15,Argentina,,31,no data,no data,0,True
11539,8.8,1022.5,39,13.4,Adelaide,2022 Rugby Championship,Australia,Adelaide,0,13.4,1,7.6,False,Australia,,0,0,L,Winter,false,,Adelaide Oval,95678,25,17,South Africa,,42,0-20,moins de 30,0,False
11539,8.8,1022.5,39,13.4,Adelaide,2022 Rugby Championship,Australia,Adelaide,0,13.4,0,7.6,False,South Africa,,3,0,W,Winter,false,,Adelaide Oval,95678,17,25,Australia,,42,0-20,moins de 30,1,False
28961,22.4,,,4.3,Albany,2017 Rugby Championship,New Zealand,Albany,0,28.3,1,17.8,False,New Zealand,,0,0,L,Autumn,false,0,North Harbour Stadium,72518,57,0,South Africa,,57,20-30,moins de 30,0,False
28961,22.4,,,4.3,Albany,2017 Rugby Championship,New Zealand,Albany,0,28.3,0,17.8,False,South Africa,,3,0,W,Autumn,false,0,North Harbour Stadium,72518,0,57,New Zealand,,57,20-30,moins de 30,1,False
4,11.6,,,,Auckland,1994 South Africa tour,New Zealand,Auckland,1,,0,,False,New Zealand,,1,0,D,Winter,false,,Eden Park,93110,18,18,South Africa,,36,0-20,no data,0,False
4,11.6,,,,Auckland,1994 South Africa tour,New Zealand,Auckland,1,,0,,False,South Africa,,1,0,D,Winter,false,,Eden Park,93110,18,18,New Zealand,,36,0-20,no data,0,False
335,11.1,,,,Auckland,1995 Australia tour of New Zealand,New Zealand,Auckland,0,,0,,False,Australia,,3,17,W,Winter,false,,Eden Park,93110,16,28,New Zealand,,44,0-20,no data,1,False
335,11.1,,,,Auckland,1995 Australia tour of New Zealand,New Zealand,Auckland,0,,1,,False,New Zealand,,0,17,L,Winter,false,,Eden Park,93110,28,16,Australia,,44,0-20,no data,0,False
